DELIVERY_DATE,DELIVERED_VOLUME,Facility_A,Facility_B,Facility_C,Facility_D,Facility_E,Facility_F,Facility_G,Facility_H,Facility_I,Facility_J,Facility_K,Weekday
2019-03-13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2019-03-14,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2019-03-15,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2019-03-18,0.0,0.0,0.0,0.0,55.0,3.0,0.0,45.0,86.0,0.0,16.0,0.0,0
2019-03-19,0.0,13.0,0.0,0.0,3.0,9.0,80.0,243.0,80.0,0.0,6.0,0.0,1
2019-03-20,0.0,275.0,32.0,51.0,37.0,322.0,60.0,264.0,111.0,0.0,9.0,0.0,2
2019-03-21,0.0,213.0,39.0,151.0,89.0,265.0,57.0,309.0,78.0,0.0,6.0,0.0,3
2019-03-22,840.0,143.0,19.0,126.0,16.0,226.0,45.0,214.0,81.0,0.0,5.0,0.0,4
2019-03-23,0.0,0.0,3.0,95.0,0.0,131.0,38.0,0.0,0.0,0.0,0.0,0.0,5
2019-03-24,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2019-03-25,1694.0,213.0,0.0,45.0,27.0,146.0,0.0,366.0,126.0,0.0,14.0,0.0,0
2019-03-26,1183.0,202.0,0.0,208.0,23.0,286.0,87.0,180.0,88.0,0.0,19.0,0.0,1
2019-03-27,905.0,172.0,0.0,209.0,15.0,348.0,70.0,413.0,125.0,0.0,8.0,0.0,2
2019-03-28,682.0,226.0,25.0,184.0,27.0,286.0,54.0,290.0,89.0,0.0,10.0,0.0,3
2019-03-29,1463.0,158.0,45.0,175.0,19.0,123.0,53.0,286.0,96.0,0.0,4.0,0.0,4
2019-03-30,0.0,0.0,5.0,95.0,0.0,218.0,53.0,0.0,54.0,0.0,0.0,0.0,5
2019-03-31,0.0,0.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2019-04-01,1860.0,237.0,42.0,52.0,29.0,216.0,0.0,438.0,67.0,0.0,6.0,0.0,0
2019-04-02,911.0,290.0,36.0,182.0,38.0,316.0,87.0,262.0,89.0,8.0,14.0,0.0,1
2019-04-03,780.0,285.0,28.0,163.0,10.0,319.0,58.0,354.0,119.0,9.0,15.0,0.0,2
2019-04-04,1213.0,261.0,15.0,195.0,21.0,300.0,64.0,330.0,123.0,10.0,8.0,0.0,3
2019-04-05,1411.0,177.0,12.0,150.0,16.0,265.0,71.0,315.0,83.0,26.0,1.0,0.0,4
2019-04-06,0.0,1.0,0.0,0.0,0.0,69.0,51.0,0.0,3.0,0.0,0.0,0.0,5
2019-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2019-04-08,2003.0,247.0,29.0,157.0,25.0,157.0,0.0,354.0,93.0,21.0,3.0,0.0,0
2019-04-09,1077.0,321.0,0.0,205.0,48.0,324.0,81.0,384.0,66.0,17.0,7.0,0.0,1
2019-04-10,883.0,260.0,26.0,190.0,13.0,347.0,52.0,332.0,118.0,13.0,6.0,0.0,2
2019-04-11,1073.0,241.0,46.0,223.0,38.0,311.0,93.0,286.0,124.0,7.0,16.0,0.0,3
2019-04-12,1566.0,215.0,21.0,152.0,3.0,234.0,61.0,318.0,72.0,18.0,4.0,0.0,4
2019-04-13,0.0,0.0,0.0,0.0,0.0,209.0,61.0,0.0,0.0,0.0,0.0,0.0,5
2019-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2019-04-15,2042.0,262.0,23.0,161.0,55.0,156.0,0.0,444.0,117.0,19.0,18.0,0.0,0
2019-04-16,1033.0,320.0,36.0,229.0,38.0,335.0,71.0,394.0,62.0,12.0,13.0,0.0,1
2019-04-17,907.0,265.0,69.0,196.0,15.0,333.0,69.0,338.0,128.0,16.0,14.0,0.0,2
2019-04-18,1312.0,302.0,18.0,165.0,10.0,305.0,62.0,322.0,114.0,12.0,14.0,0.0,3
2019-04-19,1307.0,194.0,14.0,198.0,37.0,296.0,72.0,391.0,104.0,11.0,6.0,0.0,4
2019-04-20,0.0,0.0,0.0,0.0,0.0,245.0,56.0,0.0,0.0,0.0,0.0,0.0,5
2019-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2019-04-22,2140.0,293.0,26.0,154.0,13.0,166.0,0.0,307.0,65.0,23.0,22.0,0.0,0
2019-04-23,1394.0,287.0,45.0,215.0,22.0,300.0,86.0,441.0,98.0,19.0,14.0,0.0,1
2019-04-24,1030.0,288.0,38.0,189.0,24.0,361.0,97.0,341.0,132.0,11.0,9.0,0.0,2
2019-04-25,862.0,264.0,25.0,175.0,21.0,326.0,60.0,330.0,118.0,20.0,17.0,0.0,3
2019-04-26,1621.0,250.0,19.0,173.0,0.0,240.0,46.0,308.0,111.0,19.0,8.0,0.0,4
2019-04-27,0.0,0.0,0.0,0.0,0.0,175.0,56.0,0.0,0.0,0.0,0.0,0.0,5
2019-04-28,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2019-04-29,2047.0,245.0,23.0,113.0,35.0,179.0,0.0,394.0,91.0,16.0,12.0,0.0,0
2019-04-30,1531.0,267.0,35.0,263.0,43.0,345.0,102.0,312.0,94.0,16.0,2.0,0.0,1
2019-05-01,857.0,278.0,47.0,217.0,59.0,344.0,84.0,316.0,102.0,11.0,15.0,0.0,2
2019-05-02,1070.0,292.0,32.0,40.0,41.0,253.0,50.0,334.0,120.0,16.0,16.0,0.0,3
2019-05-03,1511.0,229.0,17.0,321.0,59.0,239.0,61.0,228.0,125.0,23.0,1.0,0.0,4
2019-05-04,0.0,0.0,0.0,0.0,0.0,193.0,39.0,0.0,0.0,0.0,0.0,0.0,5
2019-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2019-05-06,2147.0,231.0,8.0,181.0,42.0,123.0,0.0,473.0,106.0,13.0,10.0,0.0,0
2019-05-07,1210.0,298.0,36.0,241.0,50.0,381.0,56.0,336.0,85.0,13.0,6.0,20.0,1
2019-05-08,721.0,229.0,26.0,154.0,39.0,347.0,111.0,344.0,100.0,26.0,17.0,8.0,2
2019-05-09,1554.0,249.0,54.0,207.0,24.0,268.0,35.0,275.0,114.0,11.0,12.0,8.0,3
2019-05-10,1251.0,211.0,19.0,124.0,34.0,265.0,104.0,361.0,55.0,10.0,11.0,12.0,4
2019-05-11,0.0,0.0,0.0,0.0,0.0,199.0,50.0,0.0,0.0,0.0,0.0,0.0,5
2019-05-12,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2019-05-13,1946.0,237.0,14.0,181.0,29.0,119.0,0.0,440.0,110.0,11.0,25.0,6.0,0
2019-05-14,1056.0,319.0,46.0,190.0,49.0,312.0,91.0,308.0,72.0,30.0,10.0,12.0,1
2019-05-15,1052.0,334.0,26.0,226.0,35.0,241.0,70.0,369.0,93.0,11.0,15.0,10.0,2
2019-05-16,1054.0,268.0,21.0,148.0,45.0,375.0,65.0,328.0,113.0,18.0,16.0,6.0,3
2019-05-17,1464.0,195.0,29.0,216.0,37.0,350.0,55.0,315.0,92.0,18.0,19.0,9.0,4
2019-05-18,0.0,4.0,0.0,0.0,0.0,144.0,49.0,0.0,0.0,0.0,0.0,0.0,5
2019-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2019-05-20,1897.0,268.0,19.0,153.0,44.0,104.0,0.0,471.0,98.0,16.0,15.0,10.0,0
2019-05-21,1613.0,253.0,32.0,224.0,56.0,367.0,77.0,408.0,82.0,16.0,21.0,11.0,1
2019-05-22,932.0,250.0,41.0,152.0,44.0,345.0,75.0,292.0,92.0,15.0,10.0,12.0,2
2019-05-23,1064.0,315.0,23.0,171.0,54.0,293.0,64.0,363.0,100.0,14.0,14.0,5.0,3
2019-05-24,1469.0,224.0,22.0,159.0,37.0,223.0,76.0,290.0,132.0,9.0,6.0,12.0,4
2019-05-25,0.0,0.0,0.0,0.0,0.0,206.0,38.0,0.0,46.0,0.0,0.0,0.0,5
2019-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2019-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2019-05-28,2326.0,242.0,20.0,145.0,39.0,111.0,0.0,441.0,40.0,11.0,16.0,7.0,1
2019-05-29,1398.0,284.0,36.0,206.0,46.0,328.0,79.0,414.0,69.0,14.0,10.0,8.0,2
2019-05-30,628.0,264.0,21.0,179.0,9.0,382.0,71.0,311.0,104.0,9.0,12.0,8.0,3
2019-05-31,992.0,208.0,52.0,163.0,48.0,312.0,79.0,401.0,109.0,8.0,8.0,10.0,4
2019-06-01,0.0,0.0,0.0,0.0,0.0,175.0,51.0,0.0,7.0,0.0,0.0,0.0,5
2019-06-02,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
